outcome_key,outcome,family,outcome_order,geo_key,geography,geo_order,property_key,property_type,property_order,fe_key,fixed_effects,fe_order,sample_key,status,benchmark,benchmark_se,benchmark_p,centroid,centroid_se,centroid_p,delta,relative_change_percent,se_difference,absorption_r2,N,bootstrap_se,ci_low,ci_high,p_value_delta,clusters,global_fdr_q,within_outcome_fdr_q,relative_ci_low,relative_ci_high,absorption_percent
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,none,No FE,1,full,estimated,-0.308674585741528,0.000872144424882573,0,-0.308683727879238,0.000872138273306942,0,-0.00000914213770997208,0.00296173968712399,-0.00000000615157563137268,,281194,0.0000517738401207628,-0.0000968058008063766,0.0000752705090947992,0.936,16759,0.9828,0.999,-0.0243850684739649,0.0313617658460026,
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa3,SA3,2,full,estimated,-0.191404476124357,0.0474668347801416,0.000234282898109321,-0.19242724109207,0.0477915488335128,0.000238594593837775,-0.0010227649677122,0.534347465859519,0.00032471405337111,0.990529305181043,281194,0.00136550163869522,-0.00347547899224716,0.00139997004771368,0.536,16759,0.67536,0.877090909090909,-0.731419701388857,1.8157772809812,99.0529305181043
cbd,CBD distance,primary,1,sa1,SA1,1,house,House,1,sa4,SA4,3,full,estimated,-0.327662715909045,0.0467783046258063,0.000000157402725662195,-0.327661411314661,0.0469414209809111,0.00000016742633373068,0.00000130459438413277,-0.000398151611635811,0.000163116355104735,0.963395699352221,281194,0.000412221057381325,-0.000728491097999878,0.000734931480955672,0.999,16759,0.999,0.999,-0.224295119729057,0.222329567152248,96.3395699352221
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,none,No FE,1,full,estimated,-0.192859988435046,0.00161483269352232,0,-0.192867108055962,0.00161338701126847,0,-0.00000711962091592966,0.00369160082072106,-0.00000144568225384466,,58217,0.000126517734264193,-0.000251191597931254,0.00024694855100601,0.965,5229,0.999,0.999,-0.128045507525881,0.130245573469923,
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa3,SA3,2,full,estimated,-0.197374967141006,0.0692055335282612,0.00684268807810906,-0.195647457954333,0.0659697132958075,0.00507303236808773,0.001727509186673,-0.875242292219791,-0.00323582023245372,0.973032498582244,58216,0.00190721682606686,-0.00228317002572793,0.00540777128115731,0.363,5229,0.557780487804878,0.8595,-2.73984657704539,1.15676778002796,97.3032498582244
cbd,CBD distance,primary,1,sa1,SA1,1,apartment,Apartment,2,sa4,SA4,3,full,estimated,-0.272398776311001,0.02578855591001,0.0000000000433033687790765,-0.27090195197988,0.0259236020966231,0.0000000000547624776628159,0.00149682433112069,-0.549497450536174,0.000135046186613107,0.936013188539772,58216,0.00121976340173886,-0.000863697742731104,0.0038940205471955,0.234,5229,0.387947368421053,0.8424,-1.42952938332941,0.31707108028452,93.6013188539772
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,none,No FE,1,full,estimated,-0.308674585741528,0.000872144424882573,0,-0.309163770979781,0.000872415936359345,0,-0.000489185238253143,0.158479272622314,0.000000271511476771565,,281194,0.000473515269487036,-0.00136987175043742,0.000440930549877377,0.316,621,0.504,0.8595,-0.142846405322982,0.443791557101009,
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa3,SA3,2,full,estimated,-0.191404476124357,0.0474668347801416,0.000234282898109321,-0.197745226563968,0.0474001038805885,0.000152927337733676,-0.00634075043961024,3.31274929824035,-0.0000667308995531205,0.990828096159672,281194,0.00921976482737159,-0.0235423444998135,0.0111165669169665,0.5,621,0.649484536082474,0.877090909090909,-5.80789286753353,12.2997878505818,99.0828096159672
cbd,CBD distance,primary,1,sa2,SA2,2,house,House,1,sa4,SA4,3,full,estimated,-0.327662715909045,0.0467783046258063,0.000000157402725662195,-0.328362131351264,0.0450496473718462,0.0000000769959892866256,-0.000699415442219076,0.213455913126603,-0.00172865725396009,0.96290650608756,281194,0.00388622362682049,-0.00774717457031851,0.00683049658554315,0.868,621,0.942827586206896,0.999,-2.08461208855975,2.36437476532088,96.290650608756
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,none,No FE,1,full,estimated,-0.192859988435046,0.00161483269352232,0,-0.193005508705761,0.00160610884134987,0,-0.000145520270715238,0.0754538418756834,-0.00000872385217244261,,58217,0.000985947233916115,-0.00212928506542595,0.00178825944750426,0.89,560,0.958461538461538,0.999,-0.927231958279691,1.10405744742802,
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa3,SA3,2,full,estimated,-0.197374967141006,0.0692055335282612,0.00684268807810906,-0.217727754749203,0.0556647959327096,0.000346888411838683,-0.0203527876081963,10.3117370470067,-0.0135407375955517,0.973069948329122,58216,0.0123361588030033,-0.0444980827478917,0.00311754943180715,0.104,560,0.2016,0.468,-1.57950599154753,22.5449475140897,97.3069948329122
cbd,CBD distance,primary,1,sa2,SA2,2,apartment,Apartment,2,sa4,SA4,3,full,estimated,-0.272398776311001,0.02578855591001,0.0000000000433033687790765,-0.274262582789702,0.0200853601671669,0.000000000000122246683395189,-0.00186380647870105,0.684219842666667,-0.00570319574284308,0.933624980325546,58216,0.00715772874624879,-0.0158423554623075,0.0109796342603501,0.812,560,0.897473684210526,0.999,-4.03072084575538,5.81586880706839,93.3624980325546
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,none,No FE,1,full,estimated,-0.308609502942685,0.000872302905275813,0,-0.309747040344948,0.000870969402818272,0,-0.00113753740226219,0.368600899005189,-0.00000133350245754178,,281076,0.00152616684125305,-0.00396339745760131,0.00167781275633569,0.483,596,0.640610526315789,0.877090909090909,-0.543668532672274,1.28427589552788,
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa3,SA3,2,full,estimated,-0.191103601907161,0.0475113119862204,0.000241594428709747,-0.182867319777506,0.0410245492547188,0.0000629547099867361,0.00823628212965527,-4.30985185389466,-0.00648676273150157,0.987623217645069,281076,0.017531456261989,-0.0246908181921677,0.0433865172781587,0.656,596,0.7872,0.984,-22.7031394726071,12.9201218322209,98.7623217645069
cbd,CBD distance,primary,1,poa,Postcode,3,house,House,1,sa4,SA4,3,full,estimated,-0.327564009866097,0.0467979683967773,0.000000159429548337693,-0.308791913027925,0.0449216602633004,0.000000219297892863373,0.0187720968381729,-5.73081787765593,-0.00187630813347691,0.958595544075352,281076,0.0106267476511317,-0.00164498247180183,0.0386023149064723,0.072,596,0.153762711864407,0.468,-11.7846630715787,0.502186571862478,95.8595544075353
